KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_quoia,"What a welcoming thought!, What did they do to end up in there?...","Was für ein einladender Gedanke!, Was haben sie getan, um dort zu landen?...","Quel accueil!, qu'ont-ils fait pour finir là-dedans?...",,,,,,"Какая светлая мысль! Что они сделали, чтобы оказаться там?...",歓迎すべき考えだ！　彼らはあそこにたどり着くために何をしたのか？...,,,,,,,"Thật là một suy nghĩ đáng hoan nghênh !, Họ đã làm gì để kết thúc ở đó? ..."
dialogue_imqIW,Karusz,Karusz,Karusz,,,,,,Karusz,カルシュ,,,,,,,Karusz
dialogue_I8CCK,"Ho, nothing really,@w2 they were just in the wrong place at the wrong time... @w4 \n\nThey were aboard a Polaris freighter by the time we .. @w2 decided we needed to replace it's crew!.... He He He @w8 \n\nYou guys are so uncommon around these parts that the captain thought they were worth a good ransom!... @w6 Big mistake!... @w4 He He He @w6","Ho, eigentlich nichts,@w2 sie waren nur am falschen Platz zur falschen Zeit... @w4 \n\nSie waren an Bord eines Polaris-Frachtes, zur Zeit als wir, äh, @w2 entschieden wir müssen die Mannschaft austauschen!.... He He He @w8 \n\nIhr Burschen seid so ungewöhnlich in dieser Gegend, dass der Kapitän dachte, sie wären ein gutes Lösegeld wert!... @w6 Großer Fehler!... @w4 He He He @w6","Oh, rien de particulier, @w2 ils se sont trouvés juste au mauvais endroit au mauvais moment... @w4 \n\nIls étaient à bord d'un cargo Polaris au moment où nous, humm, @w2 avons décidé que nous devions remplacer l'équipage!... Hé Hé @w8 \n\nVous êtes si rares dans la région que le capitaine a pensé qu'il pourrait en obtenir une bonne rançon!... @w4 Hé Hé @w6",,,,,,"Ничего особенного,@w2 они просто оказались не в том месте и не в то время... @w4 \n\nОни были на борту грузового корабля Полярис, когда мы хммм @w2 подумали, что нам нужно заменить его команду!.... Хе Хе Хе @w8 \n\nВы, ребята, настолько необычны в этих местах, что капитан решил получить хороший выкуп!... @w6 Большая ошибка!... @w4 Хе Хе Хе @w6",ホー、本当に何もない、@w2 彼らは間違った時間に間違った場所にいただけだ... @w4 \n\n彼らはポラリスの貨物船に乗っていました .. @w2 我々がクルーを交換する必要があると判断したときに！　.... へへへ @w8 \n\nお前らはこの辺では珍しくて、船長は身代金の価値があると思っていたんだ！... @w6 大きな間違いだ！... @w4 ヘヘヘ @w6,,,,,,,"Ho, không có gì thực sự, @w2 họ đã đến nhầm chỗ và sai thời điểm ... @w4\n\nHọ đang ở trên một chiếc chuyên cơ chở hàng Polaris vào thời điểm chúng tôi .. @w2 quyết định rằng chúng tôi cần phải Thay thế nó là phi hành đoàn! .... He He He @w8\n\nCác bạn xung quanh những bộ phận này không phổ biến đến mức thuyền trưởng nghĩ rằng họ đáng giá tiền chuộc! ... @w6 Sai lầm lớn! .. . @w4 He He He He @w6"
dialogue_4K0Oi,"So, why are the human inmates in the cells for?",Wozu also die menschlichen Insassen in den Zellen?,"Pourquoi y a-t-il des détenus humains dans vos cellules, qu'ont-ils fait pour finir là-dedans?",,,,,,"Итак, для чего нужны люди-заключенные в камерах?",それで、なぜ人間の受刑者は独房にいるんだ？,,,,,,,"Vì vậy, tại sao con người là tù nhân trong các phòng giam?"
dialogue_WOWqC,Was this a Research Station?,War dies eine Forschungsstation?,Était-ce une Station de recherche?,,,,,,Это была Исследовательская станция?,調査ステーションだったのか？,,,,,,,Đây có phải là một Trạm nghiên cứu không?
dialogue_Qeeu4,Karusz,Karusz,Karusz,,,,,,Karusz,カルシュ,,,,,,,Karusz
dialogue_WGWqK,Wasn't this a research station?... How come you have prison cells in here?,"War das nicht eine Forschungsstation?... Wie kommt es, dass ihr hier drin Gefängniszellen habt?",C'était pas une Station de recherche?... Comment se fait-il que vous ayez des cellules de prison ici?,,,,,,Разве это не исследовательская станция?... Почему у вас здесь тюремные камеры?,ここは研究ステーションじゃなかったのか？どうしてここに独房があるんだ？,,,,,,,Đây không phải là một trạm nghiên cứu sao? ... Sao anh lại có phòng giam ở đây?
dialogue_u4iee,"That's what Polaris wanted everyone to believe!... @w4 \n\nWe came to know they were installing machinery capable of synthesized rare ores... @w6  Hummm... @w4 Replica alloys, lets say... @w8 In our own backyard of all places!.... @w6\n\nWe were far more easier going back then and they were probably thinking of making us a proxy to sell out those ores!.... @w8 \nOur boss at the time decided we were going to be no one's lackey and we took over the station as soon as the machinery was installed!... @w8 \n\nThieves' luck made it so that their top scientist had a grudge against them!... @w8 He He He... @w2 \nHe's been making far more coins since he started working for us!.... @w4","Das ist es, was die Polaris jeden glauben lassen wollten!... @w4 \n\n Wir erfuhren, dass sie Maschinen installierten, die seltene Erze synthetisieren konnten... @w6 Ähmm... @w4 Replik-Legierungen, sagen wir mal... @w8 Ausgerechnet in unserem eigenen Hinterhof! .... @w6 \n\nWir waren damals viel lässiger und sie dachten wahrscheinlich daran, uns zu Strohmännern zu machen, um diese Erze zu verkaufen! .... @w8 \nUnser damaliger Chef beschloss, dass wir niemandes Lakai sein würden und wir übernahmen die Station, sobald die Maschinen installiert waren!... @w8 \n\nDiebesglück wollte es, dass ihr Top-Wissenschaftler einen Groll gegen sie hegte!... @w8 He He He... @w2 \nEr macht viel mehr Geld, seit er für uns arbeitet! .... @w4","C'est ce que Polaris voulait faire croire à tout le monde!... @w4 \n\nNous avons appris qu'ils installaient des machines capables de synthétiser des minerais rares... @w6 Hummm... @w4 Repliquer les alliages ouais.. @w8 Et ils faisaient ça ici, chez nous!... @w6 \n\nNous étions beaucoup plus cool à l'époque et ils pensaient probablement se servir de nous comme revendeurs!... @w8 \nNotre patron à l'époque a décidé que nous ne serions en aucun cas leurs laquais et nous avons repris la station dès que les machines ont été installées!... @w8 \n\nEn plus, leur scientifique s'est retourné contre eux!... @w8 Peut-être la chance des voleurs Hé Hé... @w2 \nEn tout cas, il gagne beaucoup plus d'argent depuis qu'il a commencé à travailler pour nous!... @w4",,,,,,"Это то, во что Полярис хотел, чтобы все поверили!... @w4 \n\nМы узнали, что они устанавливают оборудование, способное синтезировать редкие руды... @w6  Хмммм... @w4 Реплики сплавов, скажем так... @w8 На нашем собственном заднем дворе!.... @w6\n\nТогда с нами было намного проще, и они, вероятно, думали сделать нас доверенным лицом, чтобы продавать эти руды!.... @w8 \nНаш босс в то время решил, что мы не будем никем, и мы забрали станцию себе, как только оборудование было установлено!... @w8 \n\nВоровская удача сделала так, что их ведущий ученый обиделся на них!... @w8 Хе Хе Хе... @w2 \nОн зарабатывает намного больше монет с тех пор, как начал работать на нас!.... @w4",それはポラリス社が皆に信じさせようとしたものだ！... @w4 \n\n希少鉱石を合成できる機械を設置していることがわかった... @w6  うーん... @w4 レプリカ合金とでも言うべきか... @w8 よりによって我々の裏庭に！.... @w6\n\n当時ははるかに簡単で、彼らはおそらく我々をそれらの鉱石を売り切るための代理人にしようと考えていたのだろう！.... @w8 \n当時のボスは、俺たちは誰の手先にもならないと判断し、機械が設置されるとすぐにステーションを占拠した！... @w8 \n\n泥棒の運が良かったので、トップの科学者の恨みを買ってしまったのだ！... @w8 へへへ... @w2 \n彼は我々の下で働くようになってから、はるかに多くのコインを稼ぐようになった！.... @w4,,,,,,,"Đó là điều mà Polaris muốn mọi người tin! ... @w4\n\nChúng tôi được biết họ đang lắp đặt máy móc có khả năng tổng hợp các loại quặng quý hiếm ... @w6 Hummm ... @w4 Hợp kim bản sao, cho phép nói ... @w8 Ở sân sau của chúng tôi ở tất cả các nơi! .... @w6\n\nHồi đó chúng tôi dễ dàng hơn rất nhiều và có lẽ họ đang nghĩ đến việc tạo cho chúng tôi một đầu lậu để bán hết những quặng! .... @w8\nÔng chủ của chúng tôi vào thời điểm đó đã quyết định chúng tôi sẽ không phải là tay sai của ai và chúng tôi đã tiếp quản trạm ngay sau khi máy móc được lắp đặt! ... @w8\n\nMay mắn của những tên trộm đã khiến nhà khoa học hàng đầu của họ có mối hận với họ! ... @w8 He He He ... @w2\nAnh ấy đã kiếm được nhiều tiền hơn kể từ khi bắt đầu làm việc cho chúng tôi! .... @w4"
dialogue_4W4W8,Not sure I'm safe now that I know that!,"Ich bin unsicher, ob ich jetzt sicher bin, nachdem ich das weiß!",Je ne suis pas sûr d'être en sécurité maintenant que je sais ça!,,,,,,"Не уверен, что теперь я в безопасности, потому что знаю это!",それを知ってしまった今、私は安全なのかわからない！,,,,,,,Không chắc bây giờ tôi an toàn vì tôi biết điều đó!
dialogue_0aGgC,Karusz,Karusz,Karusz,,,,,,Karusz,カルシュ,,,,,,,Karusz
dialogue_qSKqS,"Ho, no worries... @w2 We make good coins for everyone involved!... @w6 \n\nOnly Polaris is at a loss here but it's their own fault taking us for fools in the first place! @w8","Ho, keine Sorge... @w2 Wir machen gutes Geld für alle Beteiligten!... @w6 \n\nNur die Polaris stehen hier auf verlorenem Posten, aber die sind ja selbst schuld, dass sie uns für dumm verkaufen! @w8","Oh, t'inquiètes... @w2 Nous payons bien pour toute personne réglo... @w6 \n\nSeuls les Polaris ne sont pas les bienvenus ici, mais c'est leur tort de nous avoir pris pour des imbéciles! @w8",,,,,,"Хо, не беспокойся... @w2 Мы делаем хорошие монеты для всех участников!... @w6 \n\nТолько Полярис здесь в растерянности, но они сами по своей вине принимают нас за дураков! @w8",ホ、心配いらない... @w2 我々は関係者全員のために良いコインを稼いでいる！... @w6 \n\n ここではポラリスだけが途方に暮れているが、そもそも我々を愚か者と見なした彼ら自身の責任だ！ @w8,,,,,,,"Ho, đừng lo lắng ... @w2 Chúng tôi tạo ra những đồng tiền tốt cho tất cả những người tham gia! ... @w6\n\nChỉ có Polaris là bị thua lỗ ở đây nhưng đó là lỗi của chính họ đã khiến chúng tôi trở thành kẻ ngu ngốc ngay từ đầu ! @w8"
dialogue_8qu0G,Can I see what you're selling,"Kann ich sehen, was du verkaufst",Puis-je voir ce que vous vendez,,,,,,"Могу я увидеть, что вы продаете",何を売っているものを見てもいいか？,,,,,,,Tôi có thể xem bạn đang bán gì không?
dialogue_Gi0OK,Karusz,Karusz,Karusz,,,,,,Karusz,カルシュ,,,,,,,Karusz
dialogue_iOEWe,Karusz,Karusz,Karusz,Karusz,,,,,Karusz,カルシュ,,,,,,,Karusz
dialogue_uaq4D,"I don't usually trade with outsiders but, @w2 everyone around here get's far better stuff by raiding Polaris so, yeah sure... @w4","Normalerweise handle ich nicht mit Außenstehenden, aber, @w2, jeder hier bekommt viel bessere Sachen, wenn er Polaris überfällt, also, ja sicher... @w4","En général je ne fais de commerce avec les étrangers, mais, @w2 comme tout le monde par ici obtient beaucoup plus en attaquant Polaris, alors c'est d'accord... @w4",,,,,,"Обычно я не торгую с посторонними, но @w2 все здесь получают гораздо лучшие вещи, совершая набеги на Полярис, так что да, конечно... @w4",私は普段は部外者と取引しないが、@w2 この辺りの誰もがポラリスを襲撃することではるかに良いものを手に入れる、確かに... @w4,,,,,,,"Tôi không thường giao dịch với người ngoài nhưng, @w2 mọi người xung quanh đây đều nhận được những thứ tốt hơn nhiều bằng cách đột kích Polaris, vâng chắc chắn ... @w4"
dialogue_G0O0G,Can I see what you're selling,"Kann ich sehen, was du verkaufst",Puis-je voir ce que vous vendez,,,,,,"Могу я увидеть, что вы продаете",何を売っているものを見てもいいか？,,,,,,,Tôi có thể xem bạn đang bán gì không?
dialogue_Omamq,"Ho good, Polaris rejected stolen property, I should get a good price!...","Ho gut, Polaris hat Diebesgut zurückgewiesen, ich sollte einen guten Preis bekommen!...","Cool, les Polaris refusant les biens pillés, je devrais en obtenir un bon prix!...",,,,,,"Хорошо, Полярис отвергла украденное, я должен получить хорошую цену!...",ホー、いい！　ポラリスが盗品を却下したんだ、私はいい値を得るはずだ！...,,,,,,,"Tốt, Polaris từ chối tài sản bị đánh cắp, tôi nên có được một giá tốt! ..."
dialogue_2aiRC,Hey you're Zaall?,"Hey, bist du Zaall?",Hey vous êtes Zaall?,,,,,,"Эй, ты Zaall?",おい、お前がザールか？,,,,,,,"Này, bạn là Zaall?"
dialogue_WSmGW,Zaall,Zaall,Zaall,Zaall,,,,,Zaall,ザール,,,,,,,Zaall
dialogue_0Geam,I sure am!... @w4 \n\nAnd you sure know how to make an entrance!... @w6 \n\nI'm just not that sure you ever gonna make it out of this place!... @w6,"Sicher doch!... @w4 \n\nUnd du weißt, wie man einen Auftritt hinlegt!... @w6 \n\nIch bin mir nur nicht so sicher, ob du es jemals hier raus schaffen wirst!... @w6",Oui c'est moi!... @w4 \n\nEt toi on peut dire que tu sais soigner ton entrée!... @w6 \n\nPar contre pas sûr tu réussisses à sortir de cet endroit!... @w6,,,,,,"Я уверен!... @w4 \n\nИ ты точно знаешь, как попасть сюда!... @w6 \n\nЯ просто не уверен, что ты когда-нибудь выберешься отсюда!... @w6",それは確かだ！... @w4 \n\n そしてあなたは入り口を作る方法を確かに知っている！... @w6 \n\n あなたがこの場所の外でそれを作るつもりかはわからない！... @w6,,,,,,,Tôi chắc chắn là vậy! ... @w4\n\nVà bạn chắc chắn biết cách vào cổng! ... @w6\n\nTôi không chắc bạn sẽ vào được ra khỏi nơi này! ... @w6
dialogue_SmO0u,"I've seen worse!... Anyway, do you know where is Prof Yarod?","Ich habe schon Schlimmeres gesehen!... Wie auch immer, weißt du, wo Prof. Yarod ist?","J'ai connu pire!... Bref, savez-vous où se trouve le professeur Yarod?",,,,,,"Я видел худшее!... А вы знаете, где профессор Ярод?",最悪の事態を見てきた！とにかくヤロッド教授の居場所を知っているか？,,,,,,,"Tôi đã thấy tồi tệ hơn! ... Dù sao, bạn có biết giáo sư Yarod ở đâu không?"
dialogue_4alCO,Zaall,Zaall,Zaall,Zaall,,,,,Zaall,ザール,,,,,,,Zaall
dialogue_4aGuC,"I doubt that batshit crazy himself knew where he was most of his awaken hours!... @w8 \n\nRegardless, you've wrecked your way through this place looking for him?.... @w8 \n\nNot sure what kind of coin whoever sent you here said he was going to give you, @w6 but I assure you @w2 he does not have enough!.... @w8","Ich bezweifle, dass dieser durchgeknallte Verrückte selbst wusste, wo er die meisten seiner wachen Stunden war!... @w8 \n\nUngeachtet dessen, hast du dir den Weg durch diesen Ort gebahnt, um nach ihm zu suchen?.... @w8 \n\nNicht sicher, welche Art von Münzen derjenige, der dich hergeschickt hat, dir geben wollte, @w6, aber ich versichere dir, @w2, er hat nicht genug! .... @w8","Je doute que ce fou sache lui-même où il se trouvait dans ses moments éveillés!.. @w8 \n\nEn même temps, tu as réussi à remonter sa trace jusqu'ici, non?... @w8 \n\nJe ne sais pas combien t'as promis celui qui t'as envoyé ici, @w6 mais je t'assure @w2 que c'est sûrement pas assez!... @w8",,,,,,"Сомневаюсь, что этот сумасшедший бродяга знал, где он был большую часть времени бодрствования!... @w8 \n\nКак бы то ни было, ты потерпел крушение в этом месте в поисках его?.... @w8 \n\nНе уверен, что за те монеты, что собирается вам дать тот, кто послал вас сюда, @w6 стоит это делать. @w2 Их явно недостаточно!.... @w8",あのクソキチガイは自分が起きている時間の大半がどこにあるか知っていたかどうか疑わしい！... @w8 \n\nともかく、あなたは彼を探してこの場を荒らしてきたのだな？.... @w8 \n\nあなたをここに送り込んだ人がどんなコインを渡すと言っていたのかはわかわからない、 @w6 だが保証する、 @w2 彼は十分に持っていない！.... @w8,,,,,,,"Tôi nghi ngờ bản thân gã khùng khùng đó đã biết nơi anh ta ở đâu trong hầu hết những giờ tỉnh táo của mình! ... @w8\n\nMặc kệ, bạn đã tìm đường qua nơi này để tìm anh ta? .... @w8\n\nKhông rõ ai đã gửi cho bạn ở đây nói rằng anh ta sẽ đưa cho bạn, @w6 nhưng tôi đảm bảo với bạn rằng @w2 anh ta không có đủ! .... @w8"
dialogue_ai82S,Zaall,Zaall,Zaall,,,,,,Zaall,ザール,,,,,,,Zaall
dialogue_SKiOq,Well... Coin is not everything!... Do you know or what?,Na ja... Geld ist nicht alles!... Weißt du das oder was?,Mais... L'argent ne fait pas tout!... Tu sais ça au moins?,"Beh, le monete non sono tutto. Lo sai vero?",,,,,Ну... Монеты - это еще не все!... Знаешь что ли?,まあ... コインが全てではない！...何を知っているのか？,,,,,,,Chà ... Đồng xu không phải là tất cả! ... Bạn biết hay sao?
dialogue_C4ieC,"Brave last words!... @w4 \n\nNo, no idea, but you can check his room... @w4 \n\nIt's the level above us at the end I think!... @w6","Mutige letzte Worte!... @w4 \n\nNein, keine Ahnung, aber du kannst seinen Raum überprüfen... @w4 \n\nEs ist die Ebene über uns, ganz hinten, denke ich... @w6","Paroles courageuses!... @w4 \n\nNon, aucune idée, mais tu peux vérifier sa chambre... @w4 \n\nC'est à l'étage au-dessus, au bout je crois!... @w6",,,,,,"Смелые последние слова!... @w4 \n\nНет, не знаю, но вы можете проверить его комнату... @w4 \n\nЯ думаю, это в конце на уровень выше нас!... @w6",勇敢な最後の言葉だ！... @w4 \n\nいや、わからない、だが彼の部屋を確認できる... @w4 \n\n 我々の上の階の最後の方だと思う！... @w6,,,,,,,"Dũng cảm nói những lời cuối cùng! ... @w4\n\nKhông, không có ý kiến, nhưng bạn có thể kiểm tra phòng của anh ấy ... @w4\n\nTôi nghĩ nó ở cuối tầng trên! ... @w6"
dialogue_qOemC,Thanks!...,Danke!...,Merci!...,,,,,,Спасибо!...,ありがとう！...,,,,,,,Cảm ơn!...
dialogue_4W8qC,Zaall,Zaall,Zaall,Zaall,,,,,Zaall,ザール,,,,,,,Zaall
dialogue_ClhaG,What's on the menu today?,Was ist das Tagesmenü?,Qu'y a-t-il au menu aujourd'hui?,Cosa c'è oggi nel menu?,,,,,Что сегодня в меню?,今日のメニューは？,,,,,,,Thực đơn hôm nay có gì?
dialogue_uS8aK,Xsvoid,Xsvoid,Xsvoid,Xsvoid,,,,,Xsvoid,Xsvoid,,,,,,,Xsvoid
dialogue_uWS6I,All the best Polaris freighters kindly drop at our doorsteps!... @w4,Die besten Polaris-Frachter bitte freundlicherweise vor unserer Haustür absetzen!... @w4,"Tous les meilleurs cargos Polaris nous livrent directement ici, à notre porte!... @w4",,,,,,Все лучшие грузовые лайнеры Полярис ждут вас прямо у порога!... @w4,全ての最高のポラリスの貨物船は我々の玄関先に降ってくる！... @w4,,,,,,,Tất cả các chuyên cơ vận tải Polaris tốt nhất vui lòng ghé qua ngưỡng cửa của chúng tôi! ... @w4
dialogue_cGO44,Awfully kind of them!....,Schrecklich nett von ihnen! ....,Vraiment sympa de leur part!....,,,,,,Их вид ужасен!....,すごく親切な人たちだ！ ....,,,,,,,Thật là loại họ! ...
dialogue_KUS2m,Xsvoid,Xsvoid,Xsvoid,Xsvoid,,,,,Xsvoid,Xsvoid,,,,,,,Xsvoid
dialogue_KupoO,Xsvoid,Xsvoid,Xsvoid,Xsvoid,,,,,Xsvoid,Xsvoid,,,,,,,Xsvoid
dialogue_WeGCG,Hey what do you have today!,"Hey, was hast du heute!",Hey qu'est-ce que vous avez aujourd'hui!,,,,,,"Эй, что у тебя сегодня есть!",今日は何があるんだ？,,,,,,,Này bạn có gì hôm nay!
dialogue_aqkCO,Yeah?... @w2,Ja?... @w2,Ouais?... @w2,,,,,,Да?... @w2,ああ？... @w2,,,,,,,Ừ? ... @w2
dialogue_0ug8i,Station Surveyor AI,Stationsvermessungs-KI,Intendant IA de station,IA Ispettore di Stazione,,,,,ИИ Геодезической станции,ステーション検査AI,,,,,,,Trạm khảo sát AI
dialogue_CqRGe,Station Surveyor AI,Stationsvermessungs-KI,Intendant IA de station,IA Ispettore di Stazione,,,,,ИИ Геодезической станции,ステーション検査AI,,太空站感測AI,,,,,Trạm khảo sát AI
dialogue_qGCUG,Station Surveyor AI,Stationsvermessungs-KI,Intendant IA de station,IA Ispettore di Stazione,,,,,ИИ Геодезической станции,ステーション検査AI,,太空站感測AI,,,,,Trạm khảo sát AI
dialogue_OquCq,Station Surveyor AI,Stationsvermessungs-KI,Intendant IA de station,IA Ispettore di Stazione,,,,,ИИ Геодезической станции,ステーション検査AI,,太空站感測AI,,,,,Trạm khảo sát AI
dialogue_Oa4Sl,Hello!... @w2  You are not Dave!... @w4 Where is Dave?... @w4,Hallo!... @w2  Du bist nicht Dave!... @w4 Wo ist Dave?... @w4,Bonjour!... @w2 Vous n'êtes pas Dave!... @w4 Où se trouve Dave?... @w4,Salve!... @w2  Non sei Dave!... @w4 Dov'è Dave?... @w4,,,,,Привет!... @w2  Ты не Овод!... @w4 Где Овод?... @w4,こんにちは！... @w2 あなたはデイブではない！... @w4 デイブはどこだ？... @w4,,,,,,,Xin chào! ... @w2 Bạn không phải Dave! ... @w4 Dave ở đâu? ... @w4
dialogue_qGu3e,Who are you?,Wer bist du?,Qui es-tu?,Chi sei?,,,,,Кто ты?,あなたは誰？,,,,,,,Bạn là ai?
dialogue_MGcGf,I am the Station Surveyor!... @w4 Who are you?... @w2 What are you doing here?... @w4,Ich bin der Stationsvermesser!... @w4 Wer bist du?... @w2 Was machst du hier?... @w4,"Je suis l'Intendant de la station!... @w4 Et vous, qui êtes-vous?... @w2 Que faites-vous ici?... @w4",Sono l'Ispettore della Stazione!... @w4 Chi sei?... @w2 Che cosa fai qui?... @w4,,,,, Я Геодезическая станция!... @w4 А кто вы?... @w2 Что вы здесь делаете?... @w4,私はステーションの調査員だ！... @w4 お前は誰だ？... @w2 ここで何をしている？... @w4,,,,,,,Tôi là Nhân viên khảo sát trạm! ... @w4 Anh là ai? ... @w2 Anh làm gì ở đây? ... @w4
dialogue_GGaK4,"I humm, know for a fact that your operational premises have been compromised, I'm here to rectify them!","Ich ähm, weiß mit Sicherheit, dass deine Betriebsparameter kompromittiert wurden, ich bin hier, um sie zu berichtigen!","Je humm, en fait, les locaux opérationnels ont été compromis, je suis ici pour arranger ça!",,,,,,"Я, кхм, точно знаю, что ваши производственные помещения были скомпрометированы, я здесь, чтобы исправить их",私はうーん、あなたの運用施設が危険にさらされていることを事実として知っている、私はそれらを正すためにここにいる！,,,,,,,"Tôi ậm ừ, biết thực tế là cơ sở hoạt động của bạn đã bị xâm phạm, tôi ở đây để sửa chữa chúng!"
dialogue_cC800," I note hesitation in your voice, @w4 this is highly irregular!.... @w4"," Ich bemerke ein Zögern in deiner Stimme, @w4 das ist höchst ungewöhnlich! .... @w4","Je note une hésitation dans votre voix, @w4 ce n'est pas normal!... @w4",,,,,,"Я замечаю неуверенность в вашем голосе, @w4 это очень нарушает правила!.... @w4",あなたの声にためらいがあります、@w4 これは非常にイレギュラーです！.... @w4,,,,,,,"Tôi ghi nhận sự ngập ngừng trong giọng nói của bạn, @w4 điều này rất bất thường! .... @w4"
dialogue_Oem4C,"No, this is just a regular maintenance operation, could you please open the Core Access so I can proceed?","Nein, dies ist nur ein regulärer Wartungsvorgang, könntest du bitte den Zugang zum Kern öffnen, damit ich weiter machen kann?","Non non, il s'agit juste d'une opération de maintenance standard. Peux-tu m'ouvrir l'accès au Noyau que je puisse bosser?",,,,,,"Нет, это обычная операция по обслуживанию. Не могли бы вы открыть Доступ к Ядру, чтобы я мог продолжить?",いえ、これはただの定期メンテナンス作業ですので、コアアクセスを開いていただけないでしょうか？,,,,,,,"Không, đây chỉ là hoạt động bảo trì thường xuyên, bạn có thể vui lòng mở Truy cập Lõi để tôi có thể tiếp tục không?"
dialogue_aq0wi,Station Surveyor AI,Stationsvermessungs-KI,Intendant IA de station,,,,,,ИИ Геодезической станции,ステーション検査AI,,,,,,,Trạm khảo sát AI
dialogue_b0eJK,I'm sorry. @w2 I'm afraid I can't do that. @w4 . @w2 . @w2 . @w2 . @w2 . @w2 @w4 \n\nI've just activated emergency protocols. @w6 I advise you to collaborate with the incoming security personnel!... @w6 \n\nAnd I think I should let you know @w3 this room is rigged! @w6 The use of weapons inside is highly advised against!... @w8," Es tut mir leid. @w2 Das kann ich leider nicht tun. @w4 . @w2 . @w2 . @w2 . @w2 . @w2 @w4 \n\n Ich habe gerade die Notfallprotokolle aktiviert. @w6 Ich rate dir, mit dem ankommenden Sicherheitspersonal zusammenzuarbeiten!... @w6 \n\nUnd ich denke, ich sollte dich wissen lassen, @w3 dass dieser Raum manipuliert ist! @w6 Von der Verwendung von Waffen im Inneren wird dringend abgeraten!... @w8",Je suis désolé. @w2 J'ai bien peur de ne pas pouvoir faire ça. @w4. @w2. @w2. @w2. @w2. @w2 @w4 \n\nJe viens d'activer les protocoles d'urgence. @w6 Je vous conseille de collaborer avec le personnel de sécurité qui arrive!... @w6 \n\nEt je dois vous avertir @w3 que cette salle est piégée! @w6 L'utilisation d'armes à l'intérieur est fortement déconseillée!... @w8,,,,,,"Мне жаль. @w2 Боюсь, я не могу этого сделать. @w4 . @w2 . @w2 . @w2 . @w2 . @w2 @w4 \n\nЯ только что активировал экстренные протоколы. @w6 Я советую вам сотрудничать с прибывающими сотрудниками службы безопасности!... @w6 \n\nИ я думаю что должен сообщить вам, @w3 что эта комната фальшивая! @w6 Настоятельно не рекомендуется использовать оружие внутри!... @w8",すみません。 @w2 残念ながらそれはできません。 @w4 . @w2 . @w2 . @w2 . @w2 . @w2 @w4 \n\n緊急プロトコルを起動しました。 @w6 来る警備員と協力することをお勧めします！... @w6 \n\nそれと知らせる必要があると思います、 @w3 この部屋は不正に操作されています！ @w6 内部での武器の使用は非常にお勧めしません！... @w8,,,,,,,Tôi xin lỗi. @w2 Tôi e rằng mình không thể làm được điều đó. @w4. @w2. @w2. @w2. @w2. @w2 @w4\n\nTôi vừa kích hoạt các giao thức khẩn cấp. @w6 Tôi khuyên bạn nên cộng tác với nhân viên an ninh đang đến! ... @w6\n\nVà tôi nghĩ tôi nên cho bạn biết @w3 căn phòng này đã bị gian lận! @w6 Không nên sử dụng vũ khí bên trong! ... @w8
dialogue_EGeLi,Station Surveyor AI,Stationsvermessungs-KI,Intendant IA de station,,,,,,ИИ Геодезической станции,ステーション検査AI,,,,,,,Trạm khảo sát AI
dialogue_GiiqG,...,...,...,...,,,,,...,...,,,,,,,...
dialogue_8aeWW,"I seem to have misplaced my key card, can I have another?","Scheinbar habe ich meine Zugangskarte verloren, kann ich eine andere haben?","Il me semble avoir égaré ma carte d'accès, puis-je en avoir une autre?","Credo di aver smarrito la mia chiave magnetica, posso averne un'altra?",,,,,"Кажется, я потерял свою ключ-карту, можно мне другую?",キーカードを紛失してしまったようだ、別のカードをもらえるか？,,,,,,,"Có vẻ như tôi đã đặt nhầm thẻ chìa khóa của mình, tôi có thể lấy thẻ khác được không?"
dialogue_S8GiC,Station Surveyor AI,Stationsvermessungs-KI,Intendant IA de station,IA Ispettore di Stazione,,,,,ИИ Геодезической станции,ステーション検査AI,,,,,,,Trạm khảo sát AI
dialogue_0euW8,. @w2 . @w2 . @w2 . @w2 Processing. @w2 . @w2 . @w2 . @w2,. @w2 . @w2 . @w2 . @w2 Verarbeitung. @w2 . @w2 . @w2 . @w2,. @w2 . @w2 . @w2 . @w2 Traitement. @w2 . @w2 . @w2 . @w2,. @w2 . @w2 . @w2 . @w2 Elaborazione. @w2 . @w2 . @w2 . @w2,,,,,. @w2 . @w2 . @w2 . @w2 Обработка. @w2 . @w2 . @w2 . @w2,. @w2 . @w2 . @w2 . @w2 処理中 @w2 . @w2 . @w2 . @w2,,,,,,,. @w2. @w2. @w2. Xử lý @w2. @w2. @w2. @w2. @w2
